Member;Line;;Cross-Section No.;;Member Rotation;;Hinge No.;;Eccentr.;Division;Taper;Length;Weight;;
No.;No.;Member Type;Start;End;Type;beta [°];Start;End;No.;No.;Shape;L [mm];W [kg];;Comment
1;1;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
2;2;Beam;3;3;Angle;0.00;0;0;0;0;;2350.0;191.01;Z;
3;3;Beam;4;4;Angle;0.00;0;0;0;0;;7690.3;394.21;YZ;
4;4;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
5;5;Beam;3;3;Angle;0.00;0;0;0;0;;4050.0;329.19;Z;
6;6;Beam;4;4;Angle;0.00;0;0;0;0;;2500.0;128.15;Y;
7;7;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
8;8;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
9;9;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
10;10;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
11;11;Beam;4;4;Angle;0.00;0;0;0;0;;7690.3;394.21;YZ;
12;12;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
13;13;Beam;3;3;Angle;0.00;0;0;0;0;;4050.0;329.19;Z;
14;14;Beam;1;1;Angle;0.00;0;0;0;0;;2660.0;37.75;Z;
15;15;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
16;16;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
17;17;Beam;3;3;Angle;0.00;0;0;0;0;;5200.0;422.66;Z;
18;18;Beam;1;1;Angle;0.00;0;0;0;0;;2660.0;37.75;Z;
19;19;Beam;2;2;Angle;0.00;0;0;0;0;;1155.0;81.88;X;
20;20;Beam;1;1;Angle;0.00;0;0;0;0;;2899.9;41.16;XZ;
21;21;Beam;2;2;Angle;0.00;0;0;0;0;;1155.0;81.88;X;
22;22;Beam;1;1;Angle;0.00;0;0;0;0;;2899.9;41.16;XZ;
23;23;Beam;2;2;Angle;0.00;0;0;0;0;;2275.0;161.28;X;
24;24;Beam;1;1;Angle;0.00;0;0;0;0;;3380.2;47.97;XY;
25;25;Beam;2;2;Angle;0.00;0;0;0;0;;2275.0;161.28;X;
26;26;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
27;27;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
28;28;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
29;29;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
30;30;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
31;31;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
32;32;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
33;33;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
34;34;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
35;35;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
36;36;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
37;37;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
38;38;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
39;39;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
40;40;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
41;41;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
42;42;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
43;43;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
44;44;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
45;45;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
46;46;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
47;47;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
48;48;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
49;49;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
50;50;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
51;51;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
52;52;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
53;53;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
54;54;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
55;55;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
56;56;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
57;57;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
58;58;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
59;59;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
60;60;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
61;61;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
62;62;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
63;63;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
64;64;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
65;65;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
66;66;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
67;67;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
68;68;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
69;69;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
70;70;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
71;71;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
72;72;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
73;73;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
74;74;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
75;75;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
76;76;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
77;77;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
78;78;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
79;79;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
80;80;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
81;81;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
82;82;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
83;83;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
84;84;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
85;85;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
86;86;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
87;87;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
88;88;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
89;89;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
90;90;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
91;91;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
92;92;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
93;93;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
94;94;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
95;95;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
96;96;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
97;97;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
98;98;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
99;99;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
100;100;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
101;101;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
102;102;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
103;103;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
104;104;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
105;105;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
106;106;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
107;107;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
108;108;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
109;109;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
110;110;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
111;111;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
112;112;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
113;113;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
114;114;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
115;115;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
116;116;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
117;117;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
118;118;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
119;119;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
120;120;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
121;121;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
122;122;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
123;123;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
124;124;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
125;125;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
126;126;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
127;127;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
128;128;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
129;129;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
130;130;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
131;131;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
132;132;Beam;2;2;Angle;0.00;0;0;0;0;;2275.0;161.28;X;
133;133;Beam;1;1;Angle;0.00;0;0;0;0;;3380.2;47.97;XY;
134;134;Beam;2;2;Angle;0.00;0;0;0;0;;2275.0;161.28;X;
135;135;Beam;2;2;Angle;0.00;0;0;0;0;;1155.0;81.88;X;
136;136;Beam;1;1;Angle;0.00;0;0;0;0;;2899.9;41.16;XZ;
137;137;Beam;2;2;Angle;0.00;0;0;0;0;;1155.0;81.88;X;
138;138;Beam;1;1;Angle;0.00;0;0;0;0;;2899.9;41.16;XZ;
139;139;Beam;4;4;Angle;0.00;0;0;0;0;;7690.3;394.21;YZ;
140;140;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
141;141;Beam;3;3;Angle;0.00;0;0;0;0;;4050.0;329.19;Z;
142;142;Beam;1;1;Angle;0.00;0;0;0;0;;2660.0;37.75;Z;
143;143;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
144;144;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
145;145;Beam;3;3;Angle;0.00;0;0;0;0;;5200.0;422.66;Z;
146;146;Beam;1;1;Angle;0.00;0;0;0;0;;2660.0;37.75;Z;
147;147;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
148;148;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
149;149;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
150;150;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
151;151;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
152;152;Beam;3;3;Angle;0.00;0;0;0;0;;2350.0;191.01;Z;
153;153;Beam;4;4;Angle;0.00;0;0;0;0;;7690.3;394.21;YZ;
154;154;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
155;155;Beam;3;3;Angle;0.00;0;0;0;0;;4050.0;329.19;Z;
156;156;Beam;4;4;Angle;0.00;0;0;0;0;;2500.0;128.15;Y;
